Country,GDP_Per_Capita,Life satisfaction
Poland,12495.33,6.1
Chile,13340.91,6.5
Latvia,13618.57,5.9
Lithuania,14210.28,5.9
Czech Republic,17256.92,6.7
Greece,18064.29,5.4
Portugal,19121.59,5.4
Slovenia,20732.48,5.9
Spain,25864.72,6.3
Korea,27195.2,5.9
Italy,29866.58,6.0
Japan,32485.55,5.9
Israel,35343.34,7.2
New Zealand,37044.89,7.3
France,37675.01,6.5
Belgium,40106.63,6.9
Germany,40996.51,7.0
Finland,41973.99,7.6
Canada,43331.96,7.4
Netherlands,43603.12,7.4
Austria,43724.03,7.1
United Kingdom,43770.69,6.8
Sweden,49866.27,7.3
South Africa,5694.57,4.7
Iceland,50854.58,7.5
Australia,50961.87,7.3
Ireland,51350.74,7.0
Denmark,52114.17,7.6
United States,55805.2,6.9
